SDD Version, SDDv1.0;
Software, TOPAS-nBio;
Author, Matthew Andriotty;
Simulation Details, Nucleus simulation;
Source, Monoenergetic source;
Source type, 1;
Incident particles, 10;
Mean particle energy, 0.500000;
Energy distribution, M, 0;
Particle fraction, 1.0;
Dose or fluence, 1, 1e-12;
Dose rate, 0.0;
Irradiation target, Nucleus;
Volumes, 0,5,5,5,0,0,0,1,4.65,4.65,4.65,0,0,0;
Chromosome sizes, 46,252.823,252.823,248.157,248.157,204.04,204.04,195.556,195.556,184.951,184.951,174.77,174.77,162.469,162.469,149.318,149.318,143.38,143.38,138.289,138.289,137.441,137.441,135.32,135.32,116.655,116.655,108.595,108.595,102.656,102.656,90.7788,90.7788,80.1738,80.1738,77.6286,77.6286,65.3268,65.3268,63.63,63.63,47.9346,47.9346,50.4798,50.4798,58.9638,158.227;
DNA Density, 14.4316;
Cell Cycle Phase, 0, 1;
DNA Structure, 0, 1;
In vitro / in vivo, 0;
Proliferation status, 1;
Microenvironment, 20, 0.01;
Damage definition, 1, 0, 10, 10, 17.5;
Time, 0.000000;
Damage and primary count, 1542, 10;
Data entries, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0;
Additional information, ;
***EndOfHeader***;

0, 0; 0.202527, 1.825082, -2.026238 / 0.202732, 1.825183, -2.025932 / 0.202321, 1.824981, -2.026544; 1, 3, 1, 0; 0.734959046088; 0, 2, 0; 0, 2, 1; 2, 5, 1 / 2, 8, 0 / 3, 1, 1 / 3, 2, 0 / 3, 4, 0 / 3, 5, 0 / 3, 6, 0 ;
0, 0; 0.166457, 1.842438, -2.019026 / 0.167688, 1.842888, -2.018651 / 0.165225, 1.841988, -2.019401; 1, 3, 1, 0; 0.734978831949; 2, 2, 1; 0, 3, 1; 2, 1, 1 / 2, 8, 0 / 2, 10, 1 / 3, 2, 0 / 3, 3, 0 / 3, 4, 0 / 3, 9, 2 ;
0, 0; 0.354512, 1.753224, -2.057027 / 0.355699, 1.753374, -2.056776 / 0.353326, 1.753074, -2.057277; 1, 3, 1, 0; 0.735725327111; 1, 0, 2; 0, 2, 1; 2, 2, 0 / 2, 3, 0 / 2, 10, 2 / 3, 1, 2 / 3, 7, 0 ;
0, 0; 0.770962, 1.563273, -2.135921 / 0.771227, 1.563482, -2.135605 / 0.770698, 1.563064, -2.136237; 1, 3, 1, 0; 0.737058624177; 2, 1, 1; 0, 2, 1; 2, 1, 2 / 2, 7, 0 / 2, 8, 0 / 3, 1, 0 / 3, 4, 1 ;
0, 0; 0.754077, 1.572143, -2.130751 / 0.754671, 1.572961, -2.129872 / 0.753483, 1.571326, -2.131629; 1, 3, 1, 0; 0.737064850075; 2, 1, 1; 0, 2, 1; 2, 1, 2 / 3, 10, 1 ;
0, 0; 0.009299, 1.915627, -1.989019 / 0.009955, 1.916136, -1.988936 / 0.008642, 1.915118, -1.989102; 1, 3, 1, 0; 0.772845227014; 2, 1, 1; 0, 2, 1; 2, 1, 1 / 2, 3, 0 / 2, 4, 0 / 2, 7, 0 / 2, 8, 0 / 2, 9, 0 / 3, 4, 2 / 3, 6, 0 / 3, 8, 0 / 3, 9, 0 / 3, 10, 0 ;
0, 0; -0.358006, 2.102173, -1.936404 / -0.357747, 2.102758, -1.936092 / -0.358266, 2.101589, -1.936716; 1, 3, 1, 0; 0.776982740765; 0, 2, 0; 0, 2, 1; 2, 1, 1 / 3, 3, 1 / 3, 4, 0 ;
0, 0; -0.804176, 2.352714, -1.873831 / -0.803500, 2.353082, -1.873732 / -0.804852, 2.352345, -1.873930; 1, 3, 1, 0; 0.780971719516; 0, 2, 0; 0, 2, 1; 2, 1, 1 / 2, 2, 0 / 2, 7, 0 / 3, 3, 1 / 3, 4, 0 / 3, 6, 0 / 3, 7, 0 ;
0, 0; 0.171624, 1.838053, -2.022498 / 0.171970, 1.838274, -2.022040 / 0.171278, 1.837832, -2.022956; 1, 3, 1, 0; 0.734971880705; 2, 1, 1; 0, 2, 1; 2, 6, 3 / 3, 1, 1 / 3, 10, 0 ;
0, 0; -0.069632, 1.954514, -1.974321 / -0.068685, 1.954888, -1.974059 / -0.070579, 1.954140, -1.974583; 1, 3, 1, 0; 0.775621296196; 2, 1, 2; 0, 3, 1; 2, 7, 0 / 2, 8, 0 / 2, 9, 2 / 3, 1, 2 / 3, 3, 0 / 3, 4, 0 / 3, 5, 0 / 3, 6, 1 ;
